link,name_raw,slug
https://www.congress.gov/member/robert-borski/B000644,"Representative Borski, Robert A.",robert-borski/B000644
https://www.congress.gov/member/rudolf-boschwitz/B000647,"Senator Boschwitz, Rudy",rudolf-boschwitz/B000647
https://www.congress.gov/member/douglas-bosco/B000648,"Representative Bosco, Douglas H.",douglas-bosco/B000648
https://www.congress.gov/member/mike-bost/B001295,"Representative Bost, Mike",mike-bost/B001295
https://www.congress.gov/member/leonard-boswell/B000652,"Representative Boswell, Leonard L.",leonard-boswell/B000652
https://www.congress.gov/member/rick-boucher/B000657,"Representative Boucher, Rick",rick-boucher/B000657
https://www.congress.gov/member/e-boulter/B000666,"Representative Boulter, Beau",e-boulter/B000666
https://www.congress.gov/member/charles-boustany/B001255,"Representative Boustany, Charles W., Jr.",charles-boustany/B001255
https://www.congress.gov/member/david-bowen/B000682,"Representative Bowen, David R.",david-bowen/B000682
https://www.congress.gov/member/barbara-boxer/B000711,"Senator Boxer, Barbara",barbara-boxer/B000711
https://www.congress.gov/member/allen-boyd/B000716,"Representative Boyd, Allen",allen-boyd/B000716
https://www.congress.gov/member/nancy-boyda/B001258,"Representative Boyda, Nancy E.",nancy-boyda/B001258
https://www.congress.gov/member/brendan-boyle/B001296,"Representative Boyle, Brendan F.",brendan-boyle/B001296
https://www.congress.gov/member/john-brademas/B000736,"Representative Brademas, John",john-brademas/B000736
https://www.congress.gov/member/william-bradley/B001225,"Senator Bradley, Bill",william-bradley/B001225
https://www.congress.gov/member/jeb-bradley/B001246,"Representative Bradley, Jeb",jeb-bradley/B001246
https://www.congress.gov/member/kevin-brady/B000755,"Representative Brady, Kevin",kevin-brady/B000755
https://www.congress.gov/member/nicholas-brady/B000756,"Senator Brady, Nicholas",nicholas-brady/B000756
https://www.congress.gov/member/robert-brady/B001227,"Representative Brady, Robert A.",robert-brady/B001227
https://www.congress.gov/member/bruce-braley/B001259,"Representative Braley, Bruce L.",bruce-braley/B001259
https://www.congress.gov/member/frank-brasco/B000771,"Representative Brasco, Frank",frank-brasco/B000771
https://www.congress.gov/member/dave-brat/B001290,"Representative Brat, Dave",dave-brat/B001290
https://www.congress.gov/member/mike-braun/B001310,"Senator Braun, Mike ",mike-braun/B001310
https://www.congress.gov/member/william-bray/B000778,"Representative Bray, William G.",william-bray/B000778
https://www.congress.gov/member/john-breaux/B000780,"Senator Breaux, John B.",john-breaux/B000780
https://www.congress.gov/member/john-breckinridge/B000788,"Representative Breckinridge, John B.",john-breckinridge/B000788
https://www.congress.gov/member/joseph-brennan/B000798,"Representative Brennan, Joseph E.",joseph-brennan/B000798
https://www.congress.gov/member/bill-brewster/B000817,"Representative Brewster, Bill K.",bill-brewster/B000817
https://www.congress.gov/member/jim-bridenstine/B001283,"Representative Bridenstine, Jim",jim-bridenstine/B001283
https://www.congress.gov/member/bobby-bright/B001264,"Representative Bright, Bobby",bobby-bright/B001264
https://www.congress.gov/member/anthony-brindisi/B001308,"Representative Brindisi, Anthony",anthony-brindisi/B001308
https://www.congress.gov/member/jack-brinkley/B000839,"Representative Brinkley, Jack",jack-brinkley/B000839
https://www.congress.gov/member/robin-britt/B000845,"Representative Britt, Robin",robin-britt/B000845
https://www.congress.gov/member/william-brock/B000851,"Senator Brock, Bill",william-brock/B000851
https://www.congress.gov/member/william-brodhead/B000862,"Representative Brodhead, William",william-brodhead/B000862
https://www.congress.gov/member/edward-brooke/B000871,"Senator Brooke, Edward W.",edward-brooke/B000871
https://www.congress.gov/member/jack-brooks/B000880,"Representative Brooks, Jack B.",jack-brooks/B000880
https://www.congress.gov/member/mo-brooks/B001274,"Representative Brooks, Mo",mo-brooks/B001274
https://www.congress.gov/member/susan-brooks/B001284,"Representative Brooks, Susan W.",susan-brooks/B001284
https://www.congress.gov/member/william-broomfield/B000890,"Representative Broomfield, William S.",william-broomfield/B000890
https://www.congress.gov/member/donald-brotzman/B000893,"Representative Brotzman, Donald G.",donald-brotzman/B000893
https://www.congress.gov/member/paul-broun/B001262,"Representative Broun, Paul C.",paul-broun/B001262
https://www.congress.gov/member/glen-browder/B000897,"Representative Browder, Glen",glen-browder/B000897
https://www.congress.gov/member/anthony-brown/B001304,"Representative Brown, Anthony G.",anthony-brown/B001304
https://www.congress.gov/member/clarence-brown/B000910,"Representative Brown, Clarence, Jr.",clarence-brown/B000910
https://www.congress.gov/member/corrine-brown/B000911,"Representative Brown, Corrine",corrine-brown/B000911
https://www.congress.gov/member/garry-brown/B000917,"Representative Brown, Garry E.",garry-brown/B000917
https://www.congress.gov/member/george-brown/B000918,"Representative Brown, George E., Jr.",george-brown/B000918
https://www.congress.gov/member/george-brown/B000919,"Senator Brown, Hank",george-brown/B000919
https://www.congress.gov/member/henry-brown/B001235,"Representative Brown, Henry E., Jr.",henry-brown/B001235
https://www.congress.gov/member/scott-brown/B001268,"Senator Brown, Scott P.",scott-brown/B001268
https://www.congress.gov/member/sherrod-brown/B000944,"Senator Brown, Sherrod",sherrod-brown/B000944
https://www.congress.gov/member/ginny-brown-waite/B001247,"Representative Brown-Waite, Ginny",ginny-brown-waite/B001247
https://www.congress.gov/member/sam-brownback/B000953,"Senator Brownback, Sam",sam-brownback/B000953
https://www.congress.gov/member/julia-brownley/B001285,"Representative Brownley, Julia",julia-brownley/B001285
https://www.congress.gov/member/james-broyhill/B000966,"Senator Broyhill, James T.",james-broyhill/B000966
https://www.congress.gov/member/joel-broyhill/B000967,"Representative Broyhill, Joel T.",joel-broyhill/B000967
https://www.congress.gov/member/terry-bruce/B000971,"Representative Bruce, Terry L.",terry-bruce/B000971
https://www.congress.gov/member/richard-bryan/B000993,"Senator Bryan, Richard H.",richard-bryan/B000993
https://www.congress.gov/member/ed-bryant/B000996,"Representative Bryant, Ed",ed-bryant/B000996
https://www.congress.gov/member/john-bryant/B000997,"Representative Bryant, John W.",john-bryant/B000997
https://www.congress.gov/member/john-buchanan/B001008,"Representative Buchanan, John",john-buchanan/B001008
https://www.congress.gov/member/vern-buchanan/B001260,"Representative Buchanan, Vern",vern-buchanan/B001260
https://www.congress.gov/member/ken-buck/B001297,"Representative Buck, Ken",ken-buck/B001297
https://www.congress.gov/member/james-buckley/B001026,"Senator Buckley, James L.",james-buckley/B001026
https://www.congress.gov/member/larry-bucshon/B001275,"Representative Bucshon, Larry",larry-bucshon/B001275
https://www.congress.gov/member/ted-budd/B001305,"Representative Budd, Ted",ted-budd/B001305
https://www.congress.gov/member/jack-buechner/B001036,"Representative Buechner, Jack",jack-buechner/B001036
https://www.congress.gov/member/ann-buerkle/B001276,"Representative Buerkle, Ann Marie",ann-buerkle/B001276
https://www.congress.gov/member/dale-bumpers/B001057,"Senator Bumpers, Dale",dale-bumpers/B001057
https://www.congress.gov/member/jim-bunn/B001063,"Representative Bunn, Jim",jim-bunn/B001063
https://www.congress.gov/member/jim-bunning/B001066,"Senator Bunning, Jim",jim-bunning/B001066
https://www.congress.gov/member/tim-burchett/B001309,"Representative Burchett, Tim",tim-burchett/B001309
https://www.congress.gov/member/joycelyn-burdick/B001076,"Senator Burdick, Joycelyn",joycelyn-burdick/B001076
https://www.congress.gov/member/quentin-burdick/B001077,"Senator Burdick, Quentin N.",quentin-burdick/B001077
https://www.congress.gov/member/clair-burgener/B001080,"Representative Burgener, Clair W.",clair-burgener/B001080
https://www.congress.gov/member/michael-burgess/B001248,"Representative Burgess, Michael C.",michael-burgess/B001248
https://www.congress.gov/member/j-burke/B001091,"Representative Burke, J. Herbert",j-burke/B001091
https://www.congress.gov/member/james-burke/B001092,"Representative Burke, James A.",james-burke/B001092
